"year","est","lwr","upr","log_est","se"
2003,46992.2566995857,31799.450604387,69443.7214401155,10.7577381160466,0.23742770640509
2004,31913.9110573398,23746.03207329,42891.2803550629,10.3707972770184,0.179728182050896
2005,21402.8732731951,14893.7098587294,30756.8086590569,9.97128045709976,0.220436764397016
2006,26929.284084116,19289.9950648857,37593.9101510249,10.2009696011268,0.202831270575363
2007,19740.3325776196,14593.8113856222,26701.779266446,9.89041916074928,0.183643283306215
2008,24657.9166464275,18591.958503857,32703.0018497529,10.1128532900362,0.171668078968088
2009,16260.7699445847,11834.7663361517,22342.0244794361,9.69651073404621,0.193156369993724
2010,26304.3592309311,17896.4022374195,38662.4811719498,10.1774899546563,0.234145439473464
2011,32679.2964371411,23437.0438515304,45566.1738908597,10.3944970198909,0.202099380914745
2012,26907.9026791608,19702.6451907855,36748.1228830027,10.2001753023395,0.189480156700045
2013,39749.8242226397,28538.3268683197,55365.8430300187,10.5903606980007,0.20145101506559
2014,39177.2801393522,28035.1470726597,54747.6806574024,10.5758522694705,0.203445467369193
2015,44408.4360893201,31386.3822946364,62833.2751887828,10.7011847323839,0.21099466466417
2016,23852.0384154729,16644.20201807,34181.2563891944,10.0796249608183,0.218747581731426
2017,21279.4187419594,16521.7952983026,27407.0495257966,9.96549562832498,0.153849502944677
2018,14751.7082443561,11230.0878049535,19377.6664890025,9.59911416823882,0.165827704838158
2019,20113.7982173623,14720.7384632528,27482.648356173,9.90916133700433,0.189772982546654
2020,18934.8129750092,14844.2946337441,24152.5213049579,9.84875746307609,0.147968541655486
2021,13389.4615190362,10273.4791174922,17450.5323580697,9.5022232227187,0.161049109617893
2022,11304.4633118463,8517.20539016422,15003.8521926986,9.33295291006428,0.172118263447293
